user_id,inf,weibo_num,focus_num,fans_num
中国红十字会总会,??男/其他    ??    ,3356,394,482446
哔哩哔哩弹幕网,??女/上海    ??    ,21314,171,4260939
青春星榜样,??男/北京    ??    ,2557,565,1274149
深圳吃喝玩乐嗨购,??女/广东    ??    ,6713,142,5841649
清华大学,??男/北京    ??    ,15915,33,4731667
韩流,??女/海外    ??    ,19005,987,1961198
民警刘小川,??男/安徽    ??    ,18729,484,974850
不开心治愈所,??女/广东    ??    ,32919,456,422560
蜜雪冰城,??男/河南    ??    ,5129,553,695282
鼻整形科普,??男/浙江    ??    ,1751,435,1058671
河工大化学化工学院团委,??男/河南    ??    ,20062,750,3559
静雅心理咨询??男/浙江    ??    ,国家心理咨询师、动力取向心理治疗,66506,1617,13666
美国国家地理,??男/北京    ??    ,18912,339,15274610
字幕少女,??女/北京    ??    ,6239,239,2287397
dunhill,??男/上海    ??    ,2144,148,192714
野原新芝士-??女/其他    ??    ,垃圾食品终身爱好者,249,258,172
辽沈晚报,??男/辽宁    ??    ,182048,2379,5670959
茂哥日记,??男/重庆    ??    ,9245,2411,595544
中国国家地理,??男/北京    ??    ,19985,369,11351011
握爪三宝,??男/上海    ??    ,33171,274,816328
甲历史,??男/辽宁    ??    ,6960,508,589029
冀连梅药师,??女/北京    ??    ,9166,1152,2221762
俺小黑马,??男/海外    ??    ,6646,261,6075
半月谈,??男/北京    ??    ,67607,1428,12000324
妞妞带你看世界,??女/河南    ??    ,600,284,154297
欧诗漫美如珍珠,??女/浙江    ??    ,10810,46,527152
风雨中的修行者,??男/其他    ??    ,19687,785,852206
姜昇润吧_ForSuperKang,??男/其他    ??    ,27839,109,353644
鲁健,??男/北京    ??    ,3958,661,4819266
UnicornLOEYHYUN??女/江苏    ??    ,要搞全世界的漂亮男孩们～7.77～,12431,583,108
杭州微博城事,??男/浙江    ??    ,58263,4621,1881504
亚洲动物基金AAF,??女/四川    ??    ,8160,651,647156
云南发布,??男/云南    ??    ,42845,234,5188860
薛蛮子,??男/北京    ??    ,111050,3330,11606719
乐无国学,??男/浙江    ??    ,1544,459,1429676
吃瓜鹅每日搬,??男/北京    ??    ,25645,1625,3272854
文天林医生,??男/北京    ??    ,26232,965,507124
香港商報網,??男/香港    ??    ,191065,393,1563828
荆州发布,??男/湖北    ??    ,21351,493,151340
X-BANK兴银行,??男/其他    ??    ,1854,83,25849
三思逍遥,??男/四川    ??    ,34190,2335,2270689
进击的安利,??女/海外    ??    ,15274,515,120999
第一财经日报,??男/上海    ??    ,81979,1950,20714950
南都周刊,??男/广东    ??    ,42499,440,9582857
谈典看法,??男/四川    ??    ,9903,617,12551762
北村,??男/北京    ??    ,83251,3008,1035680
子陵在听歌,??男/海外    ??    ,4357,124,594956
失焦列车,??男/其他    ??    ,15784,97,104281
娱小猫,??女/北京    ??    ,12096,545,8018534
国网湖北电力,??男/湖北    ??    ,29005,248,1005245
董默,??男/北京    ??    ,3517,259,1222362
椒江叶Sir,??男/浙江    ??    ,70708,5464,1174947
姗姗快吃,??女/湖北    ??    ,1036,113,13365
陈里,??男/北京    ??    ,33535,5260,31185161
公安部交通管理局,??男/北京    ??    ,30196,353,6711875
雪球,??男/北京    ??    ,86634,2483,1497722
捡知识,??女/福建    ??    ,32379,212,4316497
韩东言,??男/辽宁    ??    ,66035,3666,2094046
协和手足外科陈江海,??男/湖北    ??    ,3807,1571,921263
长腿叔叔,??男/北京    ??    ,3848,1073,2214076
张艺兴XingTweet翻译博,??女/海外    ??    ,11999,77,543086
科学网,??男/北京    ??    ,33548,497,1234168
泰国头条新闻,??男/海外    ??    ,46760,1071,2244887
浙江之声,??男/浙江    ??    ,64197,824,1952035
哎一股清流,??女/北京    ??    ,28356,2504,4644164
新浪新闻客户端,??男/北京    ??    ,72789,413,35695321
白菜价环球旅行JourneyCA,??男/海外    ??    ,109718,119,970330
南方周末,??男/广东    ??    ,7859,206,16381654
凤凰卫视欧洲台,??女/海外    ??    ,23814,119,7424019
萌宠舍长,??女/福建    ??    ,54532,146,602833
